门店编号,下单时间,商品类别,商品名称,数量,小计金额,支付方式,就餐方式
8,2023/10/28 10:57,饮品,豆浆,1,2.5,云闪付,外卖配送
13,2023/10/8 7:15,烧卖,鲜肉烧卖,3,6,支付宝支付,打包带走
13,2023/10/8 7:15,烧卖,咸蛋黄烧卖,2,5,支付宝支付,打包带走
15,2023/11/15 11:32,烧卖,咸蛋黄烧卖,3,7.5,云闪付,外卖配送
15,2023/11/15 11:32,鲜包,香辣粉丝包,3,6,云闪付,外卖配送
7,2023/10/8 11:28,鲜包,荠菜肉包,3,6,云闪付,打包带走
7,2023/10/8 11:28,粥,南瓜粥,2,6,云闪付,打包带走
7,2023/10/8 11:28,烧卖,咸蛋黄烧卖,3,7.5,云闪付,打包带走
1,2023/10/10 10:35,饮品,无糖豆浆,1,3,云闪付,外卖配送
1,2023/10/10 10:35,饮品,豆浆,3,7.5,云闪付,外卖配送
1,2023/10/10 10:35,粥,小米粥,1,3,云闪付,外卖配送
14,2023/11/13 11:53,粗粮&小食,茶叶蛋,1,2,支付宝支付,打包带走
14,2023/11/13 11:53,鲜包,香辣粉丝包,3,6,支付宝支付,打包带走
14,2023/11/13 11:53,饮品,红枣豆浆,3,9,支付宝支付,打包带走
3,2023/10/14 8:37,粗粮&小食,水煮蛋,2,3,微信支付,外卖配送
3,2023/10/14 8:37,鲜包,香辣粉丝包,1,2,微信支付,外卖配送
11,2023/10/12 7:02,饮品,红枣豆浆,1,3,支付宝支付,外卖配送
11,2023/10/12 7:02,饮品,红枣豆浆,1,3,支付宝支付,外卖配送
14,2023/10/20 7:03,烧卖,鲜肉烧卖,1,2,云闪付,外卖配送
14,2023/10/20 7:03,粥,玉米汁,1,3,云闪付,外卖配送
1,2023/10/2 8:07,饮品,红枣豆浆,2,6,云闪付,外卖配送
1,2023/10/2 8:07,饮品,无糖豆浆,1,3,云闪付,外卖配送
2,2023/11/15 10:14,粗粮&小食,水煮蛋,3,4.5,云闪付,外卖配送
12,2023/11/2 6:36,鲜包,酸豆角包,1,2,支付宝支付,打包带走
12,2023/11/2 6:36,粥,玉米汁,2,6,支付宝支付,打包带走
12,2023/11/2 6:36,饮品,豆浆,1,2.5,支付宝支付,打包带走
15,2023/10/7 9:42,鲜包,奥尔良鸡肉包,1,2,微信支付,外卖配送
15,2023/10/7 9:42,粥,小米粥,1,3,微信支付,外卖配送
15,2023/10/7 9:42,粗粮&小食,茶叶蛋,3,6,微信支付,外卖配送
5,2023/10/19 11:34,饮品,红枣豆浆,2,6,微信支付,外卖配送
5,2023/10/19 11:34,饮品,豆浆,1,2.5,微信支付,外卖配送
5,2023/10/19 11:34,鲜包,香辣粉丝包,2,4,微信支付,外卖配送
14,2023/10/20 6:21,粥,小米粥,1,3,支付宝支付,外卖配送
14,2023/10/20 6:21,饮品,红枣豆浆,2,6,支付宝支付,外卖配送
14,2023/10/20 6:21,饮品,红枣豆浆,1,3,支付宝支付,外卖配送
6,2023/11/6 6:52,粥,南瓜粥,1,3,云闪付,打包带走
6,2023/11/6 6:52,饮品,红枣豆浆,1,3,云闪付,打包带走
6,2023/11/6 6:52,烧卖,鲜肉烧卖,2,4,云闪付,打包带走
8,2023/11/13 11:15,饮品,豆浆,2,5,云闪付,外卖配送
8,2023/11/13 11:15,鲜包,梅干菜肉包,1,2,云闪付,外卖配送
8,2023/11/19 9:22,饮品,红枣豆浆,3,9,微信支付,打包带走
8,2023/11/19 9:22,饮品,豆浆,1,2.5,微信支付,打包带走
8,2023/11/19 9:22,饮品,豆浆,3,7.5,微信支付,打包带走
11,2023/11/29 11:23,鲜包,奶黄包,3,6,云闪付,外卖配送
11,2023/11/29 11:23,粥,黑米粥,2,6,云闪付,外卖配送
11,2023/11/29 11:23,烧卖,鲜肉烧卖,2,4,云闪付,外卖配送
7,2023/10/5 11:34,鲜包,梅干菜肉包,2,4,云闪付,打包带走
7,2023/10/5 11:34,粗粮&小食,葱油饼,2,5,云闪付,打包带走
7,2023/10/5 11:34,烧卖,咸蛋黄烧卖,2,5,云闪付,打包带走
1,2023/11/28 7:52,饮品,无糖豆浆,3,9,微信支付,打包带走
1,2023/11/28 7:52,饮品,无糖豆浆,1,3,微信支付,打包带走
13,2023/10/30 10:15,粗粮&小食,水煮蛋,2,3,支付宝支付,打包带走
13,2023/10/30 10:15,饮品,豆浆,3,7.5,支付宝支付,打包带走
13,2023/10/30 10:15,饮品,豆浆,3,7.5,支付宝支付,打包带走
8,2023/10/20 7:14,饮品,豆浆,1,2.5,微信支付,外卖配送
10,2023/11/4 10:57,鲜包,豆沙包,2,4,微信支付,打包带走
10,2023/11/4 10:57,粗粮&小食,茶叶蛋,1,2,微信支付,打包带走
10,2023/11/4 10:57,粥,南瓜粥,2,6,微信支付,打包带走
1,2023/10/22 7:22,粗粮&小食,茶叶蛋,3,6,云闪付,打包带走
1,2023/10/22 7:22,鲜包,奥尔良鸡肉包,3,6,云闪付,打包带走
4,2023/10/24 9:44,粥,南瓜粥,2,6,云闪付,外卖配送
4,2023/10/24 9:44,鲜包,酸豆角包,2,4,云闪付,外卖配送
15,2023/10/6 9:52,粗粮&小食,粗粮馒头,2,4,云闪付,外卖配送
6,2023/11/13 10:05,烧卖,咸蛋黄烧卖,3,7.5,云闪付,打包带走
6,2023/11/13 10:05,鲜包,奶黄包,1,2,云闪付,打包带走
6,2023/11/13 10:05,饮品,红枣豆浆,1,3,云闪付,打包带走
11,2023/10/4 7:46,饮品,无糖豆浆,3,9,支付宝支付,打包带走
9,2023/10/13 11:37,烧卖,鲜肉烧卖,1,2,支付宝支付,打包带走
5,2023/11/6 10:41,粥,南瓜粥,1,3,支付宝支付,打包带走
2,2023/10/17 8:41,饮品,无糖豆浆,3,9,云闪付,外卖配送
2,2023/10/17 8:41,粗粮&小食,水煮蛋,3,4.5,云闪付,外卖配送
2,2023/10/17 8:41,饮品,无糖豆浆,3,9,云闪付,外卖配送
14,2023/11/27 11:55,粗粮&小食,水煮蛋,3,4.5,云闪付,打包带走
14,2023/11/27 11:55,粥,南瓜粥,3,9,云闪付,打包带走
14,2023/11/27 11:55,鲜包,荠菜肉包,2,4,云闪付,打包带走
13,2023/11/21 6:32,粥,黑米粥,1,3,支付宝支付,打包带走
13,2023/11/21 6:32,鲜包,奶黄包,1,2,支付宝支付,打包带走
13,2023/11/21 6:32,烧卖,糯米烧卖,3,4.5,支付宝支付,打包带走
8,2023/11/3 6:05,饮品,无糖豆浆,2,6,云闪付,打包带走
8,2023/10/13 8:44,饮品,豆浆,2,5,微信支付,外卖配送
9,2023/11/25 11:43,烧卖,鲜肉烧卖,3,6,云闪付,打包带走
9,2023/11/25 11:43,粗粮&小食,红糖馒头,1,1.5,云闪付,打包带走
5,2023/11/17 7:42,饮品,豆浆,3,7.5,微信支付,打包带走
5,2023/11/17 7:42,粥,小米粥,2,6,微信支付,打包带走
5,2023/11/17 7:42,烧卖,咸蛋黄烧卖,2,5,微信支付,打包带走
1,2023/11/11 10:18,粗粮&小食,粗粮馒头,3,6,支付宝支付,外卖配送
1,2023/11/11 10:18,鲜包,鲜汁肉包,1,2.5,支付宝支付,外卖配送
5,2023/10/3 10:51,粗粮&小食,粗粮馒头,2,4,微信支付,外卖配送
5,2023/10/3 10:51,烧卖,鲜肉烧卖,1,2,微信支付,外卖配送
5,2023/10/3 10:51,烧卖,糯米烧卖,1,1.5,微信支付,外卖配送
7,2023/10/15 10:30,粗粮&小食,红糖馒头,3,4.5,微信支付,外卖配送
7,2023/10/15 10:30,烧卖,咸蛋黄烧卖,2,5,微信支付,外卖配送
7,2023/10/15 10:30,鲜包,香辣粉丝包,2,4,微信支付,外卖配送
2,2023/11/24 7:52,烧卖,糯米烧卖,2,3,支付宝支付,打包带走
2,2023/10/20 10:53,饮品,红枣豆浆,3,9,云闪付,外卖配送
13,2023/11/6 9:11,鲜包,荠菜素包,2,3,支付宝支付,外卖配送
13,2023/11/6 9:11,鲜包,酸豆角包,3,6,支付宝支付,外卖配送
13,2023/11/6 9:11,鲜包,梅干菜肉包,1,2,支付宝支付,外卖配送
1,2023/10/24 8:56,饮品,豆浆,1,2.5,支付宝支付,外卖配送
1,2023/10/24 8:56,饮品,豆浆,1,2.5,支付宝支付,外卖配送
12,2023/10/1 8:18,粥,南瓜粥,3,9,云闪付,外卖配送
12,2023/10/1 8:18,粗粮&小食,粗粮馒头,3,6,云闪付,外卖配送
15,2023/11/11 7:11,粥,玉米汁,3,9,支付宝支付,打包带走
15,2023/11/11 7:11,粥,黑米粥,2,6,支付宝支付,打包带走
10,2023/11/22 8:33,烧卖,糯米烧卖,1,1.5,微信支付,打包带走
15,2023/11/24 10:10,鲜包,香菇菜包,2,4,支付宝支付,打包带走
8,2023/10/9 8:20,鲜包,酸豆角包,1,2,微信支付,打包带走
8,2023/10/9 8:20,饮品,红枣豆浆,1,3,微信支付,打包带走
8,2023/10/9 8:20,粗粮&小食,粗粮馒头,2,4,微信支付,打包带走
12,2023/10/23 9:33,粗粮&小食,粗粮馒头,1,2,云闪付,外卖配送
8,2023/11/26 8:27,烧卖,鲜肉烧卖,3,6,云闪付,外卖配送
8,2023/11/26 8:27,粥,玉米汁,1,3,云闪付,外卖配送
5,2023/11/8 8:44,鲜包,奶黄包,3,6,支付宝支付,外卖配送
5,2023/11/8 8:44,烧卖,鲜肉烧卖,1,2,支付宝支付,外卖配送
5,2023/11/8 8:44,粥,银耳羹,1,3,支付宝支付,外卖配送
1,2023/10/17 9:06,粗粮&小食,水煮蛋,2,3,云闪付,外卖配送
1,2023/11/25 6:54,粥,黑米粥,1,3,微信支付,打包带走
1,2023/11/25 6:54,鲜包,香辣粉丝包,3,6,微信支付,打包带走
1,2023/11/25 6:54,鲜包,梅干菜肉包,1,2,微信支付,打包带走
11,2023/11/23 11:05,粥,小米粥,3,9,云闪付,外卖配送
13,2023/10/10 11:51,饮品,无糖豆浆,3,9,微信支付,外卖配送
13,2023/10/10 11:51,鲜包,鲜汁肉包,3,7.5,微信支付,外卖配送
13,2023/10/10 11:51,粥,南瓜粥,1,3,微信支付,外卖配送
4,2023/10/10 8:53,粗粮&小食,红糖馒头,2,3,支付宝支付,外卖配送
12,2023/10/14 11:15,粥,玉米汁,2,6,支付宝支付,打包带走
9,2023/11/17 6:23,烧卖,糯米烧卖,2,3,微信支付,打包带走
9,2023/11/17 6:23,鲜包,奶黄包,1,2,微信支付,打包带走
9,2023/11/17 6:23,鲜包,鲜汁肉包,3,7.5,微信支付,打包带走
6,2023/10/4 8:09,粗粮&小食,水煮蛋,3,4.5,云闪付,外卖配送
6,2023/10/4 8:09,鲜包,荠菜肉包,3,6,云闪付,外卖配送
6,2023/10/4 8:09,饮品,无糖豆浆,2,6,云闪付,外卖配送
2,2023/11/4 6:12,粥,黑米粥,1,3,云闪付,打包带走
14,2023/10/27 9:03,粥,南瓜粥,2,6,云闪付,打包带走
10,2023/11/15 8:49,烧卖,鲜肉烧卖,2,4,微信支付,外卖配送
10,2023/11/15 8:49,鲜包,奥尔良鸡肉包,1,2,微信支付,外卖配送
10,2023/11/15 8:49,烧卖,糯米烧卖,2,3,微信支付,外卖配送
2,2023/10/6 7:55,饮品,红枣豆浆,3,9,支付宝支付,外卖配送
5,2023/11/18 8:03,粥,银耳羹,1,3,微信支付,打包带走
5,2023/11/18 8:03,饮品,红枣豆浆,2,6,微信支付,打包带走
5,2023/11/18 8:03,粥,玉米汁,2,6,微信支付,打包带走
11,2023/10/7 8:48,粗粮&小食,茶叶蛋,1,2,微信支付,外卖配送
11,2023/10/7 8:48,烧卖,鲜肉烧卖,3,6,微信支付,外卖配送
7,2023/11/14 8:51,烧卖,鲜肉烧卖,1,2,支付宝支付,外卖配送
7,2023/11/14 8:51,粗粮&小食,粗粮馒头,2,4,支付宝支付,外卖配送
10,2023/11/17 7:12,粗粮&小食,水煮蛋,2,3,支付宝支付,外卖配送
12,2023/10/2 9:08,鲜包,酸豆角包,1,2,支付宝支付,外卖配送
2,2023/11/27 11:28,粥,小米粥,3,9,微信支付,打包带走
2,2023/11/27 11:28,烧卖,糯米烧卖,2,3,微信支付,打包带走
2,2023/11/27 11:28,饮品,豆浆,1,2.5,微信支付,打包带走
7,2023/11/15 8:58,饮品,红枣豆浆,3,9,微信支付,打包带走
6,2023/10/21 9:20,粗粮&小食,红糖馒头,3,4.5,支付宝支付,外卖配送
7,2023/10/6 11:21,饮品,豆浆,1,2.5,微信支付,打包带走
7,2023/10/6 11:21,烧卖,咸蛋黄烧卖,3,7.5,微信支付,打包带走
7,2023/10/6 11:21,粥,南瓜粥,3,9,微信支付,打包带走
14,2023/11/25 10:35,粗粮&小食,红糖馒头,2,3,微信支付,打包带走
14,2023/11/25 10:35,烧卖,鲜肉烧卖,1,2,微信支付,打包带走
12,2023/10/27 10:16,饮品,豆浆,3,7.5,云闪付,外卖配送
8,2023/11/23 9:53,粗粮&小食,茶叶蛋,3,6,微信支付,打包带走
8,2023/11/23 9:53,饮品,无糖豆浆,1,3,微信支付,打包带走
8,2023/11/23 9:53,鲜包,酸豆角包,3,6,微信支付,打包带走
15,2023/10/20 8:34,鲜包,荠菜素包,3,4.5,支付宝支付,打包带走
15,2023/10/20 8:34,粗粮&小食,葱油饼,1,2.5,支付宝支付,打包带走
1,2023/11/24 9:22,烧卖,咸蛋黄烧卖,3,7.5,支付宝支付,打包带走
1,2023/11/24 9:22,粗粮&小食,红糖馒头,1,1.5,支付宝支付,打包带走
11,2023/11/27 10:39,烧卖,糯米烧卖,3,4.5,支付宝支付,外卖配送
4,2023/10/22 6:42,鲜包,豆沙包,3,6,云闪付,打包带走
4,2023/10/22 6:42,粗粮&小食,葱油饼,3,7.5,云闪付,打包带走
6,2023/10/27 11:14,粗粮&小食,水煮蛋,2,3,支付宝支付,打包带走
6,2023/10/27 11:14,粗粮&小食,红糖馒头,2,3,支付宝支付,打包带走
13,2023/10/1 10:56,粥,小米粥,1,3,支付宝支付,外卖配送
13,2023/10/1 10:56,饮品,无糖豆浆,2,6,支付宝支付,外卖配送
10,2023/10/19 6:08,鲜包,豆沙包,2,4,微信支付,打包带走
10,2023/10/19 6:08,烧卖,糯米烧卖,1,1.5,微信支付,打包带走
9,2023/11/27 8:09,饮品,红枣豆浆,2,6,云闪付,打包带走
9,2023/11/27 8:09,鲜包,酸豆角包,2,4,云闪付,打包带走
3,2023/10/21 8:29,粗粮&小食,茶叶蛋,1,2,微信支付,外卖配送
3,2023/10/21 8:29,饮品,红枣豆浆,1,3,微信支付,外卖配送
15,2023/10/28 10:23,鲜包,鲜汁肉包,3,7.5,支付宝支付,外卖配送
15,2023/10/28 10:23,粥,银耳羹,2,6,支付宝支付,外卖配送
5,2023/11/5 8:02,鲜包,鲜汁肉包,2,5,云闪付,打包带走
5,2023/11/5 8:02,粗粮&小食,粗粮馒头,3,6,云闪付,打包带走
6,2023/10/8 8:03,粗粮&小食,粗粮馒头,1,2,云闪付,外卖配送
15,2023/11/7 6:59,饮品,无糖豆浆,1,3,云闪付,外卖配送
10,2023/11/4 9:33,粗粮&小食,粗粮馒头,2,4,微信支付,外卖配送
10,2023/11/4 9:33,饮品,豆浆,3,7.5,微信支付,外卖配送
9,2023/11/28 9:02,粗粮&小食,葱油饼,2,5,云闪付,外卖配送
5,2023/11/21 7:09,烧卖,咸蛋黄烧卖,2,5,微信支付,外卖配送
5,2023/11/21 7:09,粥,银耳羹,3,9,微信支付,外卖配送
